Date,Ticker,Name,Close,Setup,Status,Entry_Low,Entry_High,Breakout_Trigger,Stop_Loss,Notes
2026-01-19,ENI.MI,Eni,16.482,Trend (no pullback) - range dip,HOLD,16.061,16.257,17.352,15.64,"Bias: BULL (score 4-0); Not in pullback zone (d30=1.15ATR, d50=1.64ATR); RSI=56.4 (Down); Stoch trend=Down; MACDH trend=Down; Momentum: ALL DOWN (RSI+Stoch+MACDH) -> no confirm; Confirm flags: SAR, MACD>Signal; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
2026-01-19,ETH-USD,Etherium,3207.962,Trend (no pullback) - range dip,HOLD,3121.433,3194.681,3532.345,2894.043,"Bias: BULL (score 3-0) ADX strong; Not in pullback zone (d30=0.48ATR, d50=0.41ATR); RSI=53.3 (Down); Stoch trend=Down; MACDH trend=Down; Momentum: ALL DOWN (RSI+Stoch+MACDH) -> no confirm; Confirm flags: SAR, MACD>Signal; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
2026-01-19,HER.MI,Hera,4.258,Trend (no pullback) - range dip,HOLD,4.062,4.108,4.466,4.052,"Bias: BULL (score 3-1); Not in pullback zone (d30=2.58ATR, d50=3.13ATR); RSI=66.9 (Up); Stoch trend=Up; MACDH trend=Up; Momentum: some UP/turning; Confirm flags: SAR, MACD>Signal, MACDH Up; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
2026-01-19,IVG.MI,Iveco Grp,18.875,Trend (no pullback) - range dip,HOLD,18.723,18.771,19.087,18.67,"Bias: BULL (score 4-0) ADX strong; Not in pullback zone (d30=1.88ATR, d50=3.37ATR); RSI=71.8 (Down); Stoch trend=Down; MACDH trend=Down; Momentum: ALL DOWN (RSI+Stoch+MACDH) -> no confirm; Confirm flags: SAR; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
2026-01-19,LDO.MI,Leonardo,60.14,Trend (no pullback) - range dip,PREPARE,52.952,54.144,65.419,52.696,"Bias: BULL (score 4-0) ADX strong; Not in pullback zone (d30=3.87ATR, d50=4.70ATR); RSI=76.8 (Up); Stoch trend=Up; MACDH trend=Down; Momentum: some UP/turning; Confirm flags: SAR, MACD>Signal; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
2026-01-19,PIRC.MI,Pirelli & C.,6.316,Trend (no pullback) - range dip,HOLD,6.063,6.145,6.682,5.962,"Bias: BULL (score 4-0) ADX strong; Not in pullback zone (d30=1.80ATR, d50=2.14ATR); RSI=64.2 (Down); Stoch trend=Down; MACDH trend=Down; Momentum: ALL DOWN (RSI+Stoch+MACDH) -> no confirm; Confirm flags: SAR, MACD>Signal; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
2026-01-19,PRY.MI,Prysmian,93.44,Trend (no pullback) - range dip,HOLD,86.991,88.915,101.963,85.192,"Bias: BULL (score 3-1); Not in pullback zone (d30=2.00ATR, d50=2.46ATR); RSI=61.6 (Down); Stoch trend=Up; MACDH trend=Up; Momentum: some UP/turning; Confirm flags: SAR, MACD>Signal, MACDH Up; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
2026-01-19,SPM.MI,Saipem,2.671,Trend (no pullback) - range dip,HOLD,2.493,2.537,2.869,2.479,"Bias: BULL (score 4-0) ADX strong; Not in pullback zone (d30=2.44ATR, d50=3.27ATR); RSI=63.9 (Down); Stoch trend=Down; MACDH trend=Down; Momentum: ALL DOWN (RSI+Stoch+MACDH) -> no confirm; Confirm flags: SAR, MACD>Signal; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
2026-01-19,TEN.MI,Tenaris,17.93,Trend (no pullback) - range dip,HOLD,17.127,17.379,19.045,16.851,"Bias: BULL (score 4-0); Not in pullback zone (d30=1.88ATR, d50=2.46ATR); RSI=61.7 (Down); Stoch trend=Down; MACDH trend=Down; Momentum: ALL DOWN (RSI+Stoch+MACDH) -> no confirm; Confirm flags: SAR, MACD>Signal; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
2026-01-19,TIT.MI,Telecom Italia,0.569,Trend (no pullback) - range dip,HOLD,0.518,0.528,0.615,0.516,"Bias: BULL (score 4-0) ADX strong; Not in pullback zone (d30=3.07ATR, d50=3.87ATR); RSI=71.5 (Down); Stoch trend=Down; MACDH trend=Down; Momentum: ALL DOWN (RSI+Stoch+MACDH) -> no confirm; Confirm flags: SAR, MACD>Signal; Azione: non in pullback -> pianifica dip (EMA) o breakout trigger"
